@relation School-levels

@attribute CohesiveComplexityFeature:MendesAllConnectivesperToken numeric
@attribute CohesiveComplexityFeature:MendesCausalConnectivesperToken numeric
@attribute CohesiveComplexityFeature:MendesConcessiveConnectivesperToken numeric
@attribute LexicalRichness:TypeTokenRatio(CorrectedTTR) numeric
@attribute LexicalRichness:TypeTokenRatio(TTR) numeric
@attribute LexicalSophisticationFeature:AgeofAcquisition(AWToken) numeric
@attribute LexicalSophisticationFeature:Concreteness(AWType) numeric
@attribute LexicalSophisticationFeature:Familiarity(AWType) numeric
@attribute LexicalSophisticationFeature:Imageability(AWToken) numeric
@attribute LexicalSophisticationFeature:SUBTLEXContextualDiversity(AWType) numeric
@attribute LexicalSophisticationFeature:SUBTLEXFrequencyBand1 numeric
@attribute LexicalSophisticationFeature:SUBTLEXFrequencyBand4 numeric
@attribute LexicalSophisticationFeature:SUBTLEXFrequencyBand7 numeric
@attribute LexicalSophisticationFeature:SUBTLEXWordFrequencyperMillion(AWType) numeric
@attribute LexicalVariationFeature:CorrectedVerbVariation1 numeric
@attribute LexicalVariationFeature:Lexical numeric
@attribute MeanSentenceLengthinTokens numeric
@attribute MeanTokenLengthinSyllables numeric
@attribute MorphologicalComplexityInflectionFeature:PastParticipleVerbDensity numeric
@attribute MorphologicalComplexityInflectionFeature:Pasttenseperverbtoken numeric
@attribute MorphologicalComplexityInflectionFeature:Subjunctivesperwordtoken numeric
@attribute NumberofCliticFeatureperVP-All numeric
@attribute NumberofMorphologicalFeatures:ConditionalVerbperVP numeric
@attribute NumberofMorphologicalFeatures:ImperfectVerbperVP numeric
@attribute NumberofMorphologicalFeatures:InflectedInfinitiveVerbperVP numeric
@attribute NumberofMorphologicalFeatures:PluperfectVerbperVP numeric
@attribute NumberofMorphologicalFeatures:PreteriteVerbperVP numeric
@attribute NumberofMorphologicalFeatures:SubjunctiveVerbperVP numeric
@attribute NumberofPOSFeature:AdjectiveTokens numeric
@attribute NumberofPOSFeature:AdjectiveandAdverbTokens numeric
@attribute NumberofPOSFeature:NounTokens numeric
@attribute NumberofPOSFeature:VerbTokens(includingModals) numeric
@attribute NumberofSentences numeric
@attribute NumberofSyntacticConstituents:PassiveSentences numeric
@attribute NumberofTokens numeric
@attribute NumberofTokenswithMoreThan2Syllables numeric
@attribute ReferentialCohesion:GlobalLexicalOverlap(lemma-based) numeric
@attribute ReferentialCohesion:MeanGlobalArgumentOverlap(lemma-based) numeric
@attribute SyntacticComplexityFeature:ComplexNominalsperClause numeric
@attribute SyntacticComplexityFeature:ComplexNominalsperSentence numeric
@attribute SyntacticComplexityFeature:CoordinatePhrasesperSentence numeric
@attribute SyntacticComplexityFeature:Dependentclauseratio numeric
@attribute SyntacticComplexityFeature:MeanLengthofClause numeric
@attribute SyntacticComplexityFeature:NounPhrasesperSentence numeric
@attribute SyntacticComplexityFeature:PostnominalModifierperComplexNounPhrase numeric
@attribute SyntacticComplexityFeature:PrepositionalPhrasesperSentence numeric
@attribute SyntacticComplexityFeature:RelativeClausesperSentence numeric
@attribute SyntacticComplexityFeature:SentenceComplexityRatio numeric
@attribute SyntacticComplexityFeature:SentenceCoordinationRatio numeric
@attribute SyntacticComplexityFeature:VerbClusterperSentence numeric
@attribute Level numeric

@data
0.088888888888889,0.005555555555556,0,7.22995312724932,0.538888888888889,3.63872340425532,4.73341463414634,1.8,5.10288461538462,4029.25,0.005555555555556,0.147222222222222,0.269444444444444,2238.8442327381,4.37880269519857,0.811224489795918,16.3636363636364,1.89722222222222,0.022222222222222,0.161290322580645,0.002777777777778,0,0,0.125,0.020833333333333,0,0.125,0.020833333333333,15,34,100,62,22,3,360,199,1.22727272727273,0.007720057720058,0.716981132075472,1.72727272727273,0.318181818181818,0.264150943396226,6.79245283018868,4.54545454545455,0,1.90909090909091,0.636363636363636,2.40909090909091,2.18181818181818,0.227272727272727,1
0.126506024096386,0.006024096385542,0,6.90773967878636,0.536144578313253,3.70454545454545,4.619,1.615,4.89973684210526,3376.81927710843,0.021084337349398,0.183734939759036,0.268072289156627,1912.70052590361,4.36033255612459,0.772222222222222,15.0909090909091,2,0.030120481927711,0.122448979591837,0,0,0,0.297297297297297,0.027027027027027,0,0.297297297297297,0,12,35,96,49,22,3,332,196,0.954545454545455,0.007904705712192,0.577777777777778,1.18181818181818,0.409090909090909,0.333333333333333,7.37777777777778,3.81818181818182,0,1.86363636363636,0.681818181818182,2.04545454545455,1.68181818181818,0.090909090909091,1
0.088571428571429,0.008571428571429,0,6.9923427506707,0.528571428571429,3.60029411764706,4.93529411764706,1.87,5.11063829787234,3346.10303030303,0.011428571428571,0.16,0.285714285714286,2152.61218969697,4.21637021355784,0.793478260869565,16.6666666666667,1.95142857142857,0.017142857142857,0.087719298245614,0.002857142857143,0,0,0.106382978723404,0.021276595744681,0.021276595744681,0.106382978723404,0.021276595744681,16,34,93,57,21,2,350,179,0.904761904761905,0.008414503903226,0.58,1.38095238095238,0.285714285714286,0.28,7,4.80952380952381,0,2.33333333333333,0.666666666666667,2.38095238095238,2.23809523809524,0.19047619047619,1
0.07843137254902,0,0,7.40996376679469,0.554621848739496,3.83121212121212,4.56975609756098,1.87833333333333,4.70454545454545,3452.30726256983,0.005602240896359,0.176470588235294,0.257703081232493,1832.37159385475,3.71992443980222,0.824120603015075,17,2.02521008403361,0.008403361344538,0.208333333333333,0,0,0,0.024390243902439,0.024390243902439,0,0.024390243902439,0,26,52,99,48,21,1,357,202,1.14285714285714,0.012261881810754,0.704545454545455,1.55,0.4,0.113636363636364,8.11363636363636,4.2,0,2,0.25,2.2,2.05,0.1,1
0.131054131054131,0.017094017094017,0,6.68043450145312,0.504273504273504,3.52660377358491,4.84121951219512,1.84875,5.00690909090909,3696.5838150289,0.011396011396011,0.168091168091168,0.310541310541311,2126.19103063584,4.64670170494017,0.783068783068783,15.9545454545455,1.87749287749288,0,0.016666666666667,0.017094017094017,0,0,0,0,0,0,0.127659574468085,21,50,79,60,22,0,351,185,0.863636363636364,0.01784323342778,0.365384615384615,0.904761904761905,0.523809523809524,0.346153846153846,6.75,4.76190476190476,0,1.61904761904762,0.857142857142857,2.47619047619048,2.23809523809524,0.523809523809524,1
0.126888217522659,0.015105740181269,0,7.50115801734695,0.583081570996979,3.39607142857143,4.711875,2.054,4.7127027027027,3480.20994475138,0.003021148036254,0.166163141993958,0.262839879154079,1963.85298342541,4.6,0.830687830687831,16.55,2.02114803625378,0.012084592145015,0.017241379310345,0.006042296072508,0,0,0.0625,0,0,0.0625,0.041666666666667,24,44,87,58,20,1,331,194,1.05,0.013235628320768,0.471698113207547,1.25,0.45,0.264150943396226,6.24528301886792,4.4,0,1.35,0.7,2.65,2.4,0.3,1
0.108433734939759,0.009036144578313,0,7.02416225764231,0.545180722891566,4,4.385,2.1125,4.65647058823529,3571.68484848485,0.015060240963855,0.168674698795181,0.265060240963855,2134.62210848485,4.37880269519857,0.817142857142857,16.6,1.90361445783133,0.048192771084337,0.049180327868853,0,0,0,0.135135135135135,0,0,0.135135135135135,0,9,24,90,61,20,7,332,178,0.9,0.007141912095472,0.675675675675676,1.25,0.55,0.081081081081081,8.97297297297297,4.4,0,2.25,0.15,1.85,1.85,0.45,1
0.104046242774566,0.005780346820809,0.002890173410405,6.95661617961781,0.528901734104046,2.77592592592593,5.00589743589744,1.7,4.93585365853659,3701.31210191083,0,0.11849710982659,0.283236994219653,2215.67773184713,3.6036768010584,0.787234042553192,17.3,1.96820809248555,0.011560693641619,0,0.008670520231214,0,0,0,0,0,0,0.075,25,44,95,49,20,2,346,191,0.85,0.011425060781017,0.761904761904762,1.6,0.75,0.214285714285714,8.23809523809524,4.25,0,1.9,0.45,2.1,2,0.4,1
0.103343465045593,0.003039513677812,0,6.27643346346288,0.48936170212766,3.03410256410256,4.986875,1.92555555555556,5.10574468085106,3680.78571428571,0.012158054711246,0.09726443768997,0.343465045592705,2457.87562214286,3.75,0.728813559322034,15.6666666666667,1.82674772036474,0.018237082066869,0.18,0.009118541033435,0,0.075,0.075,0,0,0.075,0.075,19,40,87,50,21,3,329,151,1.52380952380952,0.025171283742712,0.975,1.85714285714286,0.19047619047619,0.275,8.225,4.57142857142857,0,1.66666666666667,0.523809523809524,1.9047619047619,1.9047619047619,0.333333333333333,1
0.090909090909091,0,0,7.31561219708794,0.527272727272727,3.0941935483871,4.59888888888889,2.035,4.97840909090909,3520.80701754386,0.01038961038961,0.150649350649351,0.257142857142857,2016.59635847953,4.74453773279045,0.856410256410256,17.5,1.80519480519481,0.018181818181818,0.210526315789474,0.002597402597403,0,0,0.179487179487179,0.025641025641026,0,0.179487179487179,0.025641025641026,16,33,105,57,22,3,385,185,0.636363636363636,0.006083390293917,0.977272727272727,1.95454545454545,0.363636363636364,0.136363636363636,8.75,4.27272727272727,0,2.40909090909091,0.272727272727273,2,1.81818181818182,0.363636363636364,1
